question_originale,paraphrase,reponse_originale,reponse_paraphrase,similarite
Quel est le rôle de l'ADN ?,À quoi sert l'ADN ?,a phylogenetic basis,a synapse,0.2129
Qu'est-ce qu'une cellule ?,Définissezune cellule ?,a cell,asexual,0.1813
Quel est le rôle des mitochondries ?,À quoi serts mitochondries ?,Mitochondrial,a synapse,0.281
Où se produit la photosynthèse ?,Expliquez où se produit la photosynthèse ?,a synapse,a synapse,1.0
À quoi servent les anticorps ?,Expliquez à quoi servent les anticorps ?,a savagery,a symphony orchestra,0.123
Quelle est la différence entre l'ADN et l'ARN ?,Expliquez quelle est la différence entre l'ADN et l'ARN ?,a chromosome,RNA,0.3457
Qu'est-ce qu'un gène ?,Définissezun gène ?,a gene,genus,0.306
Combien de chromosomes possède une cellule humaine ?,Expliquez combien de chromosomes possède une cellule humaine ?,chromosomes,chromosomes,1.0
Quel est le rôle du noyau ?,Expliquez quel est le rôle du noyau ?,a symphony,a symphony,1.0
Comment se reproduisent les bactéries ?,Expliquez comment se reproduisent les bactéries ?,Les bactéries sont reproduisés ?,et et et et et et et et et et et et et et et et et et et et et et et et et et et et et et et et et ,0.0085
